timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767982258,0.07505629221971744,0.050037528146099054,99.87490617963418,0,0,16079196,346444,13799684,1857896,0,70451,772,1054
1767982263,0.10015022533776413,0.10015022533804877,99.79969954932447,0,0,16079208,346444,13799684,1857908,0,819,1073,1347
1767982268,0.10015022533776413,0.050075112668882066,99.7996995493222,0.050075112668882066,0,16079208,346424,13799684,1857920,0,18022,0,0
1767982273,0.10010010010010238,0.05005005005005119,99.84984984985098,0,0,16079256,346464,13799684,1857928,0,91750,1437,1379
1767982278,0.20020020019962148,0.10010010009981074,99.69969969970057,0,0,16079256,346452,13799684,1857940,0,2457,0,0
1767982283,0.05007511266788945,0.1001502253383407,99.84977466199406,0,0,16079256,338616,13807508,1857952,0,17203,1145,1438
1767982288,0.0500500500511892,0.05005005005005119,99.84984984984871,0.05005005005033569,0,16079260,338608,13807508,1857964,0,43417,759,1047
1767982293,0.0500751126701666,0,99.94992488732983,0,0,16079260,338852,13807256,1857972,0,819,759,1047
1767982298,0.05005005004876737,0.05005005004990537,99.89989989990246,0,0,16079260,338828,13807268,1857984,0,6553,0,0
1767982303,0.05007511267002064,0.050075112668882066,99.89984977465996,0,0,16079256,339032,13807044,1857996,0,14745,0,0
1767982308,0.300300300301182,0.1501501501508755,99.5495495495471,0,0,16079248,339008,13807044,1858012,0,819,0,0
1767982313,0.15030060120053287,0.10020040080111468,99.74949899800063,0,0,16079252,339224,13806820,1858024,0,819,0,0
1767982318,0.04997501249496608,0.09995002498765958,99.85007496251511,0,0,16079248,339212,13806820,1858032,0,17203,798,1060
1767982323,0.050100200399564296,0,99.94989979960272,0,0,16079248,339200,13806820,1858044,0,819,759,1047
1767982328,0.0500500500511892,0.10010010010010238,99.84984984984644,0,0,16079256,339196,13806820,1858056,0,0,0,0
1767982333,0.050050050048913185,0.05005005005033569,99.84984984985098,0.05005005005005119,0,16079256,339176,13806820,1858068,0,18841,1437,1379
