timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767800533,50.25000000000121,0.4000000000000005,48.9999999999989,0.24999999999999145,0.05000000000000118,3573932,330908,1272072,1970924,1174732,0,121,106
1767800538,50.30060120240481,0.5010020040079866,49.19839679358676,0,0,3573932,330640,1272072,1971192,3276,0,101,82
1767800543,50.40080160320633,0.20040080160323737,49.39879759519093,0,0,3573932,331112,1271596,1971196,4915,27750,133,114
1767800548,50.250250250248875,0.3003003003003046,49.44944944945053,0,0,3573932,331064,1271596,1971244,4915,409,52,39
1767800553,50.30000000000001,0.39999999999999153,49.30000000000007,0,0,3573936,335160,1267500,1971248,13107,5734,157,136
1767800558,50.300601202407115,0.3006012024048342,49.39879759518748,0,0,3573936,335360,1267248,1971300,4915,8192,79,66
1767800563,51.048951048947465,0.3996003996003642,48.45154845155166,0,0,3573936,339452,1263152,1971304,7372,82739,6220,12099
1767800568,50.45135406218988,0.40120361083251527,49.147442326977675,0,0,3573936,339184,1263152,1971572,6553,0,88,69
1767800573,50.24975024974917,0.29970029970030454,49.45054945055053,0,0,3573936,339180,1263152,1971576,6553,35942,173,141
1767800578,50.25025025024916,0.4004004004003824,49.349349349350526,0,0,3573940,340140,1262148,1971624,12288,409,92,66
1767800583,50.20040080160532,0.3006012024048342,49.49899799599014,0,0,3573940,340136,1262148,1971628,0,0,144,123
1767800588,50.25025025024916,0.30030030030023347,49.349349349350526,0.10010010010000668,0,3573940,340084,1262148,1971680,5734,0,66,52
1767800593,50.39999999999992,0.30000000000001137,49.30000000000007,0,0,3573940,340080,1262148,1971684,0,7372,203,187
1767800598,50.350350350349174,0.5005005005005313,49.14914914914994,0,0,3573940,340572,1261392,1971948,9011,819,75,56
1767800603,50.300601202407115,0.30060120240476296,49.39879759518805,0,0,3573940,340792,1261168,1971952,6553,142336,133,114
1767800608,50.29999999999772,0.4000000000000443,49.30000000000238,0,0,3573940,342252,1259656,1972004,3276,3584,79,66
1767800613,50.300601202404536,0.2004008016031662,49.49899799599245,0,0,3573940,342496,1259404,1972012,11468,0,131,110
1767800618,50.2000000000001,0.39999999999999153,49.39999999999998,0,0,3573940,342448,1259404,1972060,4915,0,52,39
1767800623,50.30000000000201,0.300000000000025,49.19999999999728,0,0.10000000000000464,3573940,342444,1259404,1972064,6553,0,3136,10346
1767800628,50.299999999998015,0.5999999999999954,49.100000000002,0,0,3573940,342396,1259180,1972336,6553,7372,158,128
1767800633,50.35035035035118,0.30030030030031823,49.34934934934879,0,0,3573940,342388,1259180,1972344,5734,614,120,101
