timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767916940,97.99799799799113,1.40140140140131,0.4004004004074062,0.10010010010000213,0.10010010010009326,3219924,558720,263468,2396656,1633894,41164,410,821
1767916945,98.90109890109652,0.9990009990009204,2.2737367544323206e-12,0,0.09990009990010003,3219780,559628,261720,2397352,0,6553,0,0
1767916950,97.99799799800034,2.002002002002074,0,0,0,3219784,553364,267920,2397420,10649,20275,0,0
1767916955,99.6999999999997,0.30000000000001137,0,0,0,3219764,557888,263320,2397476,0,0,52,39
1767916960,99.70000000000027,0.19999999999996018,0,0,0.09999999999999788,3219740,557860,263320,2397480,0,111513,0,0
1767916965,99.6999999999997,0.30000000000001137,1.1368683772161603e-12,0,0,3219744,558036,263096,2397532,0,168755,1666,10236
1767916970,99.80000000000018,0.20000000000010232,0,0,0,3219752,558040,263096,2397536,0,3276,0,0
1767916975,99.10000000000025,0.7999999999999831,0,0,0.1000000000000023,3219748,557604,262844,2398220,0,819,52,39
1767916980,99.79999999999961,0.19999999999996018,1.1368683772161603e-12,0,0,3219724,558320,262100,2398224,0,3276,0,0
1767916985,99.69969969968409,0.30030030030026356,1.4793499758525286e-11,0,0,3219724,558268,262100,2398276,819,0,52,39
1767916990,99.70029970031526,0.19980019980019198,0,0,0.09990009990011375,3219728,556072,264296,2398280,0,19763,0,0
1767916995,99.60000000000036,0.40000000000006253,0,0,0,3219712,556000,264296,2398336,0,0,109,98
1767917000,99.79979979978351,0.2002002002001283,1.708144736767281e-11,0,0,3219712,555996,264296,2398340,0,3276,0,0
1767917005,98.80239520961275,0.8982035928146923,0.0998003991697658,0,0.09980039920163099,3219704,559064,260516,2399044,0,298188,515,967
1767917010,99.6999999999997,0.30000000000001137,0,0,0,3219712,559068,260516,2399048,0,6553,0,0
1767917015,99.60000000000036,0.39999999999992036,0,0,0,3219712,559012,260516,2399104,0,3276,86,51
1767917020,99.79999999999961,0.20000000000010232,0,0,0,3219716,559012,260516,2399108,0,12800,0,0
1767917025,99.5004995004977,0.3996003996003114,2.2737367544323206e-12,0,0.09990009990009559,3219720,558960,260516,2399164,0,2457,0,0
1767917030,99.79979979980168,0.2002002002001647,0,0,0,3219716,558952,260516,2399168,0,3276,0,0
1767917035,99.29929929928355,0.7007007007006624,1.5930368135741446e-11,0,0,3219712,559256,259508,2399868,0,25395,0,0
1767917040,99.80000000000018,0.19999999999996018,0,0,0,3219708,561260,257496,2399872,0,4096,0,0
1767917045,99.60039960041523,0.299700299700359,0,0,0.09990009990011818,3219708,563284,255420,2399924,0,154009,0,0
